Horodatage;Valeur;Statut
2023-12-31T23:00:00+02:00;32000;Mesure
2023-12-31T23:30:00+02:00;32304;Mesure
2024-01-01T00:00:00+02:00;31887;Mesure
2024-01-01T00:30:00+02:00;30212;Mesure
2024-01-01T01:00:00+02:00;28865;Mesure
2024-01-01T01:30:00+02:00;28562;Mesure
2024-01-01T02:00:00+02:00;30074;Mesure
2024-01-01T02:30:00+02:00;33051;Mesure
2024-01-01T03:00:00+02:00;35682;Mesure
2024-01-01T03:30:00+02:00;38783;Mesure
2024-01-01T04:00:00+02:00;43776;Mesure
2024-01-01T04:30:00+02:00;76000;Mesure
2024-01-01T05:00:00+02:00;136244;Mesure
2024-01-01T05:30:00+02:00;193992;Mesure
2024-01-01T06:00:00+02:00;209906;Mesure
2024-01-01T06:30:00+02:00;211665;Mesure
2024-01-01T07:00:00+02:00;206977;Mesure
2024-01-01T07:30:00+02:00;204665;Mesure
2024-01-01T08:00:00+02:00;206927;Mesure
2024-01-01T08:30:00+02:00;213589;Mesure
2024-01-01T09:00:00+02:00;217495;Mesure
2024-01-01T09:30:00+02:00;213576;Mesure
2024-01-01T10:00:00+02:00;194914;Mesure
2024-01-01T10:30:00+02:00;167596;Mesure
2024-01-01T11:00:00+02:00;147982;Mesure
2024-01-01T11:30:00+02:00;139074;Mesure
2024-01-01T12:00:00+02:00;150529;Mesure
2024-01-01T12:30:00+02:00;167651;Mesure
2024-01-01T13:00:00+02:00;197641;Mesure
2024-01-01T13:30:00+02:00;198198;Mesure
2024-01-01T14:00:00+02:00;199626;Mesure
2024-01-01T14:30:00+02:00;207717;Mesure
2024-01-01T15:00:00+02:00;215790;Mesure
2024-01-01T15:30:00+02:00;215249;Mesure
2024-01-01T16:00:00+02:00;203238;Mesure
2024-01-01T16:30:00+02:00;176146;Mesure
2024-01-01T17:00:00+02:00;147314;Mesure
2024-01-01T17:30:00+02:00;116139;Mesure
2024-01-01T18:00:00+02:00;86260;Mesure
2024-01-01T18:30:00+02:00;62891;Mesure
2024-01-01T19:00:00+02:00;51863;Mesure
2024-01-01T19:30:00+02:00;44643;Mesure
2024-01-01T20:00:00+02:00;40075;Mesure
2024-01-01T20:30:00+02:00;38336;Mesure
2024-01-01T21:00:00+02:00;38034;Mesure
2024-01-01T21:30:00+02:00;37532;Mesure
2024-01-01T22:00:00+02:00;35533;Mesure
2024-01-01T22:30:00+02:00;33204;Mesure
2024-01-01T23:00:00+02:00;33051;Mesure
2024-01-01T23:30:00+02:00;32534;Mesure
2024-01-02T00:00:00+02:00;31128;Mesure
2024-01-02T00:30:00+02:00;29184;Mesure
2024-01-02T01:00:00+02:00;28500;Mesure
2024-01-02T01:30:00+02:00;29195;Mesure
2024-01-02T02:00:00+02:00;31141;Mesure
2024-01-02T02:30:00+02:00;33585;Mesure
2024-01-02T03:00:00+02:00;35105;Mesure
2024-01-02T03:30:00+02:00;37453;Mesure
2024-01-02T04:00:00+02:00;42837;Mesure
2024-01-02T04:30:00+02:00;76996;Mesure
2024-01-02T05:00:00+02:00;141049;Mesure
2024-01-02T05:30:00+02:00;198673;Mesure
2024-01-02T06:00:00+02:00;208367;Mesure
2024-01-02T06:30:00+02:00;204909;Mesure
2024-01-02T07:00:00+02:00;201115;Mesure
2024-01-02T07:30:00+02:00;205265;Mesure
2024-01-02T08:00:00+02:00;213577;Mesure
2024-01-02T08:30:00+02:00;220083;Mesure
2024-01-02T09:00:00+02:00;217946;Mesure
2024-01-02T09:30:00+02:00;207777;Mesure
2024-01-02T10:00:00+02:00;188530;Mesure
2024-01-02T10:30:00+02:00;166355;Mesure
2024-01-02T11:00:00+02:00;151869;Mesure
2024-01-02T11:30:00+02:00;143860;Mesure
2024-01-02T12:00:00+02:00;152249;Mesure
2024-01-02T12:30:00+02:00;164233;Mesure
2024-01-02T13:00:00+02:00;190825;Mesure
2024-01-02T13:30:00+02:00;194834;Mesure
2024-01-02T14:00:00+02:00;203243;Mesure
2024-01-02T14:30:00+02:00;215142;Mesure
2024-01-02T15:00:00+02:00;220120;Mesure
2024-01-02T15:30:00+02:00;212637;Mesure
2024-01-02T16:00:00+02:00;196430;Mesure
2024-01-02T16:30:00+02:00;171751;Mesure
2024-01-02T17:00:00+02:00;148554;Mesure
2024-01-02T17:30:00+02:00;120106;Mesure
2024-01-02T18:00:00+02:00;88616;Mesure
2024-01-02T18:30:00+02:00;62705;Mesure
2024-01-02T19:00:00+02:00;50309;Mesure
2024-01-02T19:30:00+02:00;43271;Mesure
2024-01-02T20:00:00+02:00;39997;Mesure
2024-01-02T20:30:00+02:00;39475;Mesure
2024-01-02T21:00:00+02:00;39273;Mesure
2024-01-02T21:30:00+02:00;37776;Mesure
2024-01-02T22:00:00+02:00;34673;Mesure
2024-01-02T22:30:00+02:00;32078;Mesure
2024-01-02T23:00:00+02:00;33585;Mesure
2024-01-02T23:30:00+02:00;32008;Mesure
2024-01-03T00:00:00+02:00;30061;Mesure
2024-01-03T00:30:00+02:00;28558;Mesure
2024-01-03T01:00:00+02:00;28874;Mesure
2024-01-03T01:30:00+02:00;30225;Mesure
2024-01-03T02:00:00+02:00;31892;Mesure
2024-01-03T02:30:00+02:00;33339;Mesure
2024-01-03T03:00:00+02:00;33985;Mesure
2024-01-03T03:30:00+02:00;36392;Mesure
2024-01-03T04:00:00+02:00;42962;Mesure
2024-01-03T04:30:00+02:00;79471;Mesure
2024-01-03T05:00:00+02:00;145338;Mesure
2024-01-03T05:30:00+02:00;199086;Mesure
2024-01-03T06:00:00+02:00;202709;Mesure
2024-01-03T06:30:00+02:00;198198;Mesure
2024-01-03T07:00:00+02:00;199626;Mesure
2024-01-03T07:30:00+02:00;210657;Mesure
2024-01-03T08:00:00+02:00;220928;Mesure
2024-01-03T08:30:00+02:00;222599;Mesure
2024-01-03T09:00:00+02:00;213502;Mesure
2024-01-03T09:30:00+02:00;200611;Mesure
2024-01-03T10:00:00+02:00;185330;Mesure
2024-01-03T10:30:00+02:00;169369;Mesure
2024-01-03T11:00:00+02:00;157297;Mesure
2024-01-03T11:30:00+02:00;146747;Mesure
2024-01-03T12:00:00+02:00;150402;Mesure
2024-01-03T12:30:00+02:00;158731;Mesure
2024-01-03T13:00:00+02:00;186064;Mesure
2024-01-03T13:30:00+02:00;196474;Mesure
2024-01-03T14:00:00+02:00;210186;Mesure
2024-01-03T14:30:00+02:00;221020;Mesure
2024-01-03T15:00:00+02:00;219469;Mesure
2024-01-03T15:30:00+02:00;206267;Mesure
2024-01-03T16:00:00+02:00;190394;Mesure
2024-01-03T16:30:00+02:00;171416;Mesure
2024-01-03T17:00:00+02:00;152967;Mesure
2024-01-03T17:30:00+02:00;124021;Mesure
2024-01-03T18:00:00+02:00;89193;Mesure
2024-01-03T18:30:00+02:00;61188;Mesure
2024-01-03T19:00:00+02:00;48603;Mesure
2024-01-03T19:30:00+02:00;42751;Mesure
2024-01-03T20:00:00+02:00;40905;Mesure
2024-01-03T20:30:00+02:00;40872;Mesure
2024-01-03T21:00:00+02:00;39886;Mesure
2024-01-03T21:30:00+02:00;37146;Mesure
2024-01-03T22:00:00+02:00;33482;Mesure
2024-01-03T22:30:00+02:00;31406;Mesure
2024-01-03T23:00:00+02:00;33339;Mesure
2024-01-03T23:30:00+02:00;30986;Mesure
2024-01-04T00:00:00+02:00;29210;Mesure
2024-01-04T00:30:00+02:00;28642;Mesure
2024-01-04T01:00:00+02:00;29801;Mesure
2024-01-04T01:30:00+02:00;31144;Mesure
2024-01-04T02:00:00+02:00;31958;Mesure
2024-01-04T02:30:00+02:00;32433;Mesure
2024-01-04T03:00:00+02:00;32872;Mesure
2024-01-04T03:30:00+02:00;36123;Mesure
2024-01-04T04:00:00+02:00;44091;Mesure
2024-01-04T04:30:00+02:00;82206;Mesure
2024-01-04T05:00:00+02:00;146999;Mesure
2024-01-04T05:30:00+02:00;195026;Mesure
2024-01-04T06:00:00+02:00;195718;Mesure
2024-01-04T06:30:00+02:00;194834;Mesure
2024-01-04T07:00:00+02:00;203243;Mesure
2024-01-04T07:30:00+02:00;218186;Mesure
2024-01-04T08:00:00+02:00;225361;Mesure
2024-01-04T08:30:00+02:00;219898;Mesure
